Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,2000,15,15,20,24,51,9,109,0.000%,326.31751,215644.55,38.24
TOTAL,2000,15,15,20,24,51,9,109,0.000%,326.31751,215644.55,38.24
