Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,2000,16,16,22,25,35,10,47,0.000%,332.22591,219549.31,38.93
TOTAL,2000,16,16,22,25,35,10,47,0.000%,332.22591,219549.31,38.93
